f=20kHz Rcal=500ohm 
500.08,2692.03,3247.30,11459.83,122.23,464.29,2803.14,256.59,88.14,482.41,341.69,2685.03,75.99,704.17,498.04,14.13,13.63,828.15,553.40,781.19,185.70,27341.50,23909.45,27341.50,10692.63,12877.91,6488.98,13316.92,11219.81,1187.64,611.98,971.58,753.67,45.64,25.58,479.04,705.30,2119.56,44086.84,123.41,
494.07,2094.72,43230.71,2996.96,11617.90,54.07,2868.59,3846.02,20466.81,472.55,345.54,2938.08,120.98,729.02,504.74,13.62,13.88,796.24,541.01,799.80,265.45,22043.42,21113.77,34426.04,8490.81,18243.27,5124.99,11990.04,13541.17,490.41,599.13,920.96,760.62,45.97,25.49,474.44,682.95,2049.78,40933.61,122.87,
483.93,49.55,3347.22,15705.29,1857.38,17592.57,2144.89,261.92,111.80,471.30,349.14,2447.91,76.20,735.50,496.55,14.29,13.63,831.16,559.80,842.85,31.53,22043.42,22043.42,25978.42,11732.53,8910.53,5289.07,14111.85,8874.35,750.35,607.97,980.01,710.00,48.52,29.60,476.73,706.52,2082.54,37804.16,122.43,
489.72,1916.17,27341.50,3276.95,12079.72,51.73,2623.47,3313.40,23365.98,480.73,350.98,2912.32,21615.36,730.22,500.66,13.63,13.73,794.98,544.24,828.15,77.18,10211.42,77935.28,30568.73,7020.06,12877.91,5120.84,10743.31,11063.28,1040.19,614.52,964.94,744.08,30.63,24.68,486.87,692.98,2053.33,12622.03,122.40,
495.62,139.63,3229.13,308.52,251.23,80.10,3755.64,2445.50,13670.75,479.65,352.04,4158.40,73.88,735.66,509.18,13.66,13.81,804.78,558.06,804.50,83.21,15587.05,38967.64,31174.11,10743.31,8910.53,6720.06,9548.07,11105.32,510.76,606.64,961.35,745.78,48.56,27.50,480.73,703.22,1795.47,43230.71,123.08,
495.89,2232.65,36739.04,2286.17,13670.75,46.65,2120.64,2393.06,12079.72,482.94,342.30,4338.95,16206.65,729.54,495.01,13.67,13.86,819.59,542.76,728.62,107.74,24492.69,98581.19,98581.19,11538.06,14828.01,6458.27,10040.50,18902.08,1106.59,602.83,843.72,823.48,38.87,25.69,479.04,704.07,1904.55,13644.54,122.95,
494.05,2019.70,18058.68,2204.23,22043.42,51.01,3315.64,3280.21,12227.49,469.85,339.32,3149.06,821.91,726.71,503.23,13.69,13.77,826.86,556.81,754.64,69.92,30278.97,27341.50,155870.54,11190.85,8903.25,5264.87,10266.65,12079.72,684.42,600.20,877.23,793.73,32.24,25.60,469.00,689.42,1893.97,12877.91,131.38,
490.24,2290.11,20466.81,2356.68,19483.82,59.47,3232.95,3240.98,28223.71,469.16,345.60,3207.19,141.57,734.37,501.42,13.66,14.00,828.15,549.44,743.59,265.40,10391.37,25978.42,18832.97,9340.10,8343.56,6729.44,7023.62,10211.42,661.40,614.68,839.51,816.06,49.28,28.88,473.27,711.04,1961.14,32860.40,123.41,
492.60,2045.09,14199.42,2368.07,22381.71,53.04,2977.75,3150.35,36239.16,476.10,334.74,2369.71,119.49,704.81,488.01,13.67,13.88,818.74,541.36,727.16,63.40,11990.04,31174.11,19957.18,7642.18,12944.34,6622.31,8192.37,18832.97,543.28,622.27,847.27,788.25,45.85,27.30,479.47,709.70,1974.94,11799.57,121.73,
499.07,2243.61,15587.05,2117.11,15705.29,62.10,2996.96,3082.77,13941.49,474.33,332.00,4652.33,12380.82,714.62,496.91,13.67,13.82,816.06,541.52,729.25,162.10,27341.50,37804.16,69707.42,12989.21,8453.27,6318.79,7201.27,10211.42,1108.66,601.41,843.59,786.12,38.25,25.81,473.09,694.71,1988.40,32860.40,124.13,
378.16,48.24,1397.25,13941.49,198.07,11954.72,3325.44,262.25,89.46,363.21,353.39,2581.93,69.76,333.02,382.93,14.14,13.61,807.80,536.30,746.86,107.23,10368.35,23365.98,23235.81,9106.05,9407.90,7355.99,9273.74,20466.81,2256.39,639.05,869.36,808.04,48.23,36.33,359.68,330.33,1852.91,12007.82,121.00,
380.81,2421.04,13150.00,2899.45,11475.35,56.78,2182.09,5443.24,32860.40,364.07,361.04,3766.59,14199.42,341.56,377.75,13.58,13.76,793.73,529.88,730.15,707.33,12622.03,98581.19,77935.28,10009.40,8874.35,5990.59,7822.92,11850.62,1477.43,634.69,916.69,826.69,40.82,28.27,357.90,331.97,1792.39,11538.06,120.07,
372.13,53.26,1368.52,14410.24,73.54,644.42,2991.71,3900.42,24645.30,375.06,377.68,3671.86,76.00,353.33,411.44,14.03,13.60,792.45,533.20,800.34,18.66,23909.45,17318.95,40933.61,9722.94,8789.29,6350.17,9809.20,10692.63,1558.04,642.73,1038.19,730.21,39.18,27.60,363.14,327.85,1740.84,12459.68,121.41,
