phantom 9, buco al centro 6cm
FREQUENCY SWEEP
baseline
13:07:38.072 -> 1494.93,1632.22,1542.39,1365.50,1320.67,1253.36,1257.78,1214.89,1250.58,1175.50;
13:07:38.437 -> 2427.83,2557.58,2537.45,2345.64,1983.61,1970.71,1857.95,1892.00,1872.86,1772.90;
13:07:38.770 -> 2295.39,2788.19,2371.21,2250.20,1872.20,1763.37,1816.40,1747.53,1711.60,1621.73;
13:07:39.125 -> 2727.71,2543.94,2795.31,2476.17,2188.02,2047.06,2040.95,2023.40,1977.26,1864.26;
13:07:39.472 -> 1276.29,1332.82,1290.80,1188.78,1177.46,1125.86,1106.64,1085.80,1090.61,1055.10;
13:07:39.844 -> 1167.08,1246.64,1178.08,1139.81,1048.99,1049.66,1018.80,1004.55,1004.98,972.63;
13:07:40.168 -> 1778.79,1855.97,1878.81,1714.53,1534.28,1497.05,1433.76,1400.90,1423.63,1352.01;
13:07:40.557 -> 3079.92,3268.36,3138.29,2627.72,2479.52,2279.03,2404.68,2240.34,2263.18,2123.88;
13:07:40.886 -> 2137.29,2618.96,2236.11,1978.07,1904.79,1844.45,1797.99,1802.16,1775.23,1691.13;
13:07:41.250 -> 1277.74,1367.46,1325.95,1280.98,1126.66,1104.79,1090.63,1074.91,1084.51,1022.72;
13:07:41.587 -> 1223.09,1286.40,1209.68,1147.64,1072.41,1042.16,1027.05,995.86,998.33,945.32;
13:07:41.940 -> 3031.70,2867.59,3141.73,2590.03,2408.32,2317.71,2271.26,2253.23,2218.97,2066.33;
13:07:42.272 -> 3137.81,4355.30,3074.25,2540.21,2440.53,2332.36,2395.39,2217.99,2347.22,2066.06;
13:07:42.604 -> 2744.47,3580.03,2701.41,2593.53,2234.98,2179.30,2064.20,1985.20,2015.01,1793.44;
13:07:42.973 -> 1442.28,1394.31,1497.26,1435.88,1285.81,1234.33,1211.38,1210.23,1209.00,1142.88;
13:07:43.327 -> 1862.71,1771.42,1899.45,1860.22,1529.02,1516.93,1466.51,1486.45,1451.87,1367.65;
13:07:43.691 -> 2546.27,2686.12,2505.33,2229.31,2148.72,2015.68,1936.25,1943.29,1861.51,1748.59;
13:07:44.007 -> 3214.22,3160.47,3077.05,2990.08,2423.34,2262.18,2246.07,2110.66,2029.66,1897.81;
13:07:44.346 -> 2510.19,2179.08,2456.56,2164.05,1964.84,1937.67,1848.82,1799.50,1783.48,1668.87;
13:07:44.692 -> 1193.88,1141.68,1198.83,1141.82,1039.80,1015.52,991.47,988.77,978.76,939.86;
13:07:45.071 -> 1011.36,1131.07,1049.19,982.32,939.66,926.16,912.54,890.27,903.89,855.50;
13:07:45.408 -> 2086.10,2501.91,2085.54,1973.83,1759.23,1588.53,1542.22,1528.56,1578.05,1475.92;
13:07:45.744 -> 2275.40,2099.33,2467.15,2194.76,1900.08,1809.10,1751.19,1814.42,1799.87,1701.59;
13:07:46.087 -> 1810.66,1714.47,1833.29,1671.38,1564.15,1464.06,1477.52,1397.55,1464.53,1365.24;
13:07:46.419 -> 1219.58,1347.41,1241.41,1228.32,1101.21,1058.77,1059.79,1030.95,1026.63,984.95;
13:07:46.792 -> 1545.77,1802.28,1545.57,1525.65,1332.51,1284.39,1270.88,1244.80,1218.94,1183.19;
13:07:47.162 -> 2816.10,3793.97,2791.44,2717.60,2240.26,2118.45,2100.69,2068.50,2018.40,1953.90;
13:07:47.495 -> 3049.11,3701.75,3043.77,2995.28,2396.93,2256.25,2253.83,2188.02,2205.72,2066.06;
13:07:47.868 -> 3233.69,2698.18,3209.93,2968.16,2481.25,2290.47,2386.21,2381.78,2262.40,2120.27;
13:07:48.199 -> 1805.06,1677.17,1855.19,1815.22,1629.99,1549.50,1512.72,1464.37,1522.27,1427.37;
13:07:48.554 -> 1317.87,1338.08,1326.58,1240.37,1168.53,1127.66,1106.64,1087.36,1038.53,1003.36;
13:07:48.884 -> 2301.90,2085.02,2276.19,2125.75,1912.42,1785.04,1762.41,1653.88,1630.17,1478.22;
13:07:49.227 -> 3224.17,2838.04,3077.05,3037.59,2488.87,2288.93,2144.29,2083.15,1976.07,1805.93;
13:07:49.591 -> 2474.79,3107.65,2541.33,2280.46,2088.87,1972.42,1978.09,1832.16,1778.91,1618.16;
13:07:49.922 -> 1049.88,1130.94,1051.41,1005.94,949.98,901.31,887.15,877.93,859.53,813.45;
13:07:50.267 -> 1348.35,1274.91,1380.75,1337.08,1202.74,1155.71,1121.96,1090.72,1108.73,1064.30;
13:07:50.642 -> 2789.66,3780.94,2781.68,2547.23,2373.20,2087.31,2074.92,2065.73,2130.41,2009.04;
13:07:50.974 -> 3067.48,3084.77,3260.25,3104.21,2559.33,2305.02,2377.25,2341.73,2329.13,2198.37;
13:07:51.315 -> 2057.01,1915.06,2145.23,1904.87,1773.53,1621.98,1585.38,1595.92,1594.65,1520.96;
13:07:51.687 -> 1603.66,1545.17,1641.75,1655.97,1458.39,1326.12,1367.83,1313.90,1322.84,1261.86;
13:07:51.735 -> END!
13:07:57.542 -> 1509.08,1655.64,1563.07,1425.40,1319.12,1273.10,1253.77,1233.21,1195.95,1170.77;
13:07:57.846 -> 2417.83,2646.56,2537.45,2200.69,2036.43,1956.32,1973.32,1881.32,1887.19,1737.08;
13:07:58.213 -> 2291.06,2758.87,2278.37,2062.39,1882.21,1789.10,1720.54,1732.41,1714.89,1611.74;
13:07:58.546 -> 2884.61,3780.94,2875.52,2283.41,2212.09,2029.86,2003.83,1992.35,2012.10,1921.13;
13:07:58.894 -> 1283.26,1380.47,1309.28,1198.67,1131.55,1132.92,1104.64,1109.19,1105.35,1044.78;
