Dati 02 11 phantom 10, diametro: 22cm
frequency sweep 16, 6cm al centro
16 elettrodi
calibrazione 0123

baseline x2 - data x2 
3652.80,3903.49,3922.87,4166.62,3739.78,3812.95,3784.93,3942.43,3696.53,3624.68;
5492.65,4796.09,5780.83,6398.83,5674.31,5745.72,5653.50,5355.38,4913.53,4650.44;
5759.92,5706.74,6323.99,6719.02,5846.15,5773.23,5659.34,5610.76,4935.98,4526.94;
6800.73,4687.28,5813.26,5216.71,4727.25,4828.72,4328.79,4333.67,3855.39,3613.14;
3562.22,3894.21,4268.81,4805.67,4107.70,4115.24,3759.37,3830.98,3397.98,3298.73;
5217.71,6810.33,6494.35,6872.33,5603.11,5722.25,5219.24,5371.29,4596.69,4154.44;
5307.45,4359.75,5067.00,5055.33,4540.27,4590.10,4214.66,4283.17,3799.94,3727.00;
2902.24,2860.12,2931.19,3133.84,3053.79,2962.39,2997.34,2789.49,2877.11,2831.36;
1592.37,1480.56,1558.01,1491.54,1552.70,1564.05,1592.70,1542.23,1577.83,1555.32;
833.80,773.45,828.40,796.33,820.91,827.50,837.22,824.08,821.95,823.66;
933.40,905.14,923.67,923.63,917.95,934.88,933.65,904.81,921.27,910.83;
2114.22,2177.09,2127.74,2178.01,2086.10,2118.96,2158.49,2106.31,2221.83,2259.25;
3234.32,3008.25,3467.90,3057.95,3320.64,3378.30,3430.61,3230.94,3419.78,3335.84;
5196.11,4537.66,5637.70,6118.62,5411.36,5864.43,5761.51,5301.44,5338.85,4842.09;
5561.53,6197.50,6576.95,7777.08,6373.51,6091.13,6007.11,5703.30,5468.01,4786.18;
7236.61,5967.89,6434.40,6651.37,5219.11,4929.94,4683.18,4145.61,4095.63,3812.29;
3873.13,5100.75,4721.00,4938.39,4485.87,4187.88,4060.97,3965.80,3661.76,3480.92;
5370.12,7183.64,7430.94,9585.00,6848.16,6491.38,5984.49,6177.27,4971.89,4771.86;
6390.70,6038.12,6867.71,7065.88,5809.16,5431.17,5150.08,4608.47,4706.56,4331.37;
3986.40,4542.05,4090.96,4426.05,4167.27,4036.49,4054.77,3859.56,3691.34,3598.21;
2700.84,2429.85,2744.52,2740.65,2760.52,2755.23,2858.07,2844.80,2863.67,2886.06;
1970.34,1826.09,2017.51,2093.99,2001.75,2070.83,2007.12,2048.08,2011.13,2001.77;
918.62,882.51,905.58,908.87,919.64,934.76,919.99,911.61,906.89,902.50;
918.99,941.31,973.45,970.38,981.29,1010.62,1033.80,1063.66,1064.49,1085.70;
1977.09,1786.51,1999.44,1991.95,1902.33,1929.73,1860.87,1795.01,1797.02,1754.63;
3536.26,3739.68,3712.44,3927.18,3048.48,3025.01,2897.00,2999.37,2726.99,2740.27;
4406.34,4349.42,4699.74,4855.83,3993.12,3695.66,3287.74,3030.09,2545.64,2308.22;
6186.90,5399.12,4367.97,4275.63,3608.71,3307.96,2842.09,2564.97,2293.04,2103.53;
4071.29,5021.65,3541.61,2706.94,2509.84,2271.66,2020.96,1774.98,1620.24,1526.48;
4526.53,5021.65,4317.98,3665.07,3379.18,3096.72,2724.82,2482.23,2187.92,1989.53;
5144.07,4593.87,4635.80,4638.47,3889.22,3475.16,3192.66,2949.19,2745.41,2526.61;
4367.59,3770.96,4138.63,3450.27,3525.66,3392.19,3165.05,2938.66,2738.40,2357.69;
3165.32,3083.50,3248.70,3133.35,3170.62,2929.27,2792.39,2724.94,2488.08,2314.69;
2726.00,2824.29,2769.08,2790.47,2523.25,2478.07,2380.62,2216.95,2093.66,1980.33;
1645.53,1591.92,1727.18,1793.60,1748.23,1772.57,1777.51,1761.51,1764.85,1773.48;
