29 settembre, phantom 6, riprovo dinamica laterale in alto
50kHz, calibrazione 0423
fuori(0)-dentro(5)-fuori(9)-dentro(14)
10:44:17.340 -> AD5933 Test Started!
10:44:17.379 -> Calibrated!
10:44:18.378 -> Acquisition starts in 1 second...
10:44:20.493 -> 0: 995.02,227.86,1308.84,983.87,438.22,489.95,1387.26,1205.08,716.12,572.67,1445.11,1724.11,1241.50,1131.00,929.30,964.29,1175.08,1127.65,878.72,916.38,1132.67,1364.16,1098.08,1646.16,1432.37,828.12,727.32,1218.93,2027.32,812.77,322.74,565.64,1142.38,655.73,1121.31,452.32,900.56,423.82,1106.86,732.86;
10:44:22.428 -> 1: 860.11,215.10,1123.95,825.04,366.74,459.28,1455.48,1192.87,606.60,435.80,1430.46,1740.83,1417.50,1590.39,1067.31,888.08,1173.97,1522.89,1083.61,847.27,1062.75,1760.60,1438.02,1631.41,1339.72,1017.44,997.47,1292.61,1696.49,833.80,467.56,823.67,1375.98,698.76,999.78,675.43,1291.44,407.87,1475.28,868.60;
10:44:24.439 -> 2: 944.57,230.03,1352.26,1088.88,549.57,473.66,1360.82,1229.82,892.54,739.79,1347.56,1720.31,1634.38,1968.55,1178.71,838.27,1293.07,1880.12,1214.54,811.29,1081.30,2086.30,1650.44,1645.01,1274.84,1092.34,1192.95,1460.51,1703.64,493.33,527.92,926.63,1458.48,691.52,985.36,732.79,1414.91,399.59,1594.68,924.42;
10:44:26.430 -> 3: 1022.98,235.88,1438.52,1179.31,581.31,478.86,1390.18,1253.75,952.59,815.57,1350.35,1714.32,1697.38,2156.95,1260.53,818.64,1289.45,2021.28,1267.39,799.68,1079.91,2233.11,1745.65,1645.01,1257.59,1184.24,1297.59,1499.69,1689.42,483.21,542.74,984.26,1474.07,698.25,990.10,803.55,1514.81,403.43,1729.10,986.58;
10:44:28.432 -> 4: 1007.37,237.17,1429.40,1186.21,595.67,479.55,1412.34,1285.56,976.50,824.49,1361.24,1543.16,1563.68,2014.18,1165.14,821.72,1322.87,2167.99,1335.66,810.93,1061.60,2190.76,1776.89,1679.27,1257.59,1223.16,1329.80,1553.86,1705.22,502.69,565.35,1027.96,1548.14,723.24,992.57,813.49,1559.93,401.99,1772.73,1022.67;
10:44:30.434 -> 5: 987.85,235.28,1379.71,1138.62,597.62,477.80,1443.97,1298.52,941.01,747.55,1324.10,1645.01,1567.82,1929.15,1061.71,832.43,1256.06,2029.86,1199.60,822.86,1023.76,2203.63,1665.37,1695.60,1292.88,1224.44,1230.27,1495.36,1648.80,460.98,564.63,982.40,1491.32,723.54,950.71,751.77,1454.26,398.61,1714.55,1030.35;
10:44:32.444 -> 6: 1010.74,234.01,1460.32,1207.37,612.29,506.75,1419.36,1252.62,953.66,852.37,1319.30,1665.02,1682.08,2201.69,1252.08,809.47,1284.15,2198.94,1310.13,806.18,1062.75,2286.48,1762.35,1661.18,1259.44,1199.62,1272.39,1489.06,1629.04,463.25,553.06,1013.12,1525.52,714.31,978.17,816.82,1535.25,398.32,1716.69,998.57;
10:44:34.408 -> 7: 1057.11,235.10,1465.59,1183.73,581.31,524.42,1442.33,1270.49,938.48,828.32,1363.19,1761.02,1688.62,2107.55,1274.74,823.51,1272.11,1893.16,1226.73,810.31,1089.02,2038.79,1680.78,1631.41,1276.76,1027.79,1174.56,1439.20,1643.73,471.22,515.14,965.15,1486.27,702.94,1002.32,797.57,1464.30,405.23,1605.68,915.96;
10:44:36.432 -> 8: 1000.08,229.52,1337.25,988.34,449.37,527.13,1424.64,1219.81,810.48,640.58,1348.38,1666.70,1565.78,1736.04,1067.68,858.13,1307.65,1703.04,1126.72,829.96,1103.34,1891.21,1484.97,1631.41,1307.54,982.63,1010.64,1380.34,1705.22,486.00,437.89,834.22,1423.58,691.01,1009.83,646.44,1290.20,409.24,1465.97,853.88;
10:44:38.431 -> 9: 944.78,228.60,1307.65,973.35,458.93,527.40,1433.44,1177.40,732.97,576.92,1427.98,1815.56,1275.40,1135.39,944.86,954.17,1191.05,1118.99,877.82,917.89,1142.88,1383.39,1101.98,1646.16,1430.46,802.96,692.29,1152.76,1827.94,523.82,316.90,555.29,1130.82,679.47,1035.37,449.42,907.50,428.10,1114.76,719.28;
10:44:40.417 -> 10: 902.55,219.06,1162.27,844.41,412.73,517.84,1417.71,1146.15,717.52,609.86,1434.43,1749.86,1433.31,1620.78,1100.44,860.42,1152.79,1552.89,1077.90,836.65,1089.02,1871.61,1497.96,1616.91,1301.99,1015.17,1047.24,1356.71,1686.21,492.38,471.50,824.36,1361.70,710.83,1004.85,668.81,1283.12,414.27,1490.32,877.86;
10:44:42.403 -> 11: 939.68,231.83,1340.71,1031.40,490.39,530.78,1424.64,1250.00,865.56,717.16,1372.90,1555.86,1486.66,1780.30,1077.94,852.34,1333.35,1851.07,1236.25,820.10,1095.44,1972.97,1605.68,1632.39,1282.19,1012.01,1122.06,1434.20,1701.92,500.44,487.94,906.05,1458.48,719.80,1009.88,714.74,1347.71,407.14,1537.72,881.30;
10:44:44.394 -> 12: 1010.74,237.44,1448.97,1173.28,588.80,535.85,1426.39,1281.71,953.66,808.67,1279.67,1588.63,1558.66,1996.08,1118.59,829.91,1306.87,2103.03,1317.25,810.31,1068.86,2179.68,1745.65,1663.13,1271.64,1160.34,1282.48,1498.01,1713.93,498.92,548.61,989.29,1515.81,735.84,994.98,785.22,1498.42,404.16,1662.23,974.01;
