acquisizioni phantom 7 06/10
calibrazione 0412 ref_res=500, f=50kHz
ad5933-isr-mux, f_isr=0.5Hz
baseline
10:59:42.329 -> 0: 1169.20,1461.82,1877.32,2236.70,1651.27,854.57,1725.89,2608.81,2320.90,919.92,1390.75,2730.12,2746.76,1567.37,1158.02,1343.55,1756.46,1290.27,1403.07,838.07,923.67,1079.23,1875.81,1719.50,1401.54,851.28,2247.63,2567.19,2757.66,1371.86,1645.12,2324.18,2735.98,1814.80,903.06,920.26,1569.83,1322.94,1060.49,846.78;
10:59:46.266 -> 1: 1163.07,1461.65,1863.98,2230.34,1649.04,855.48,1719.10,2583.39,2297.46,918.66,1377.00,2715.38,2718.29,1558.66,1155.24,1338.88,1769.76,1295.09,1392.28,834.41,926.14,1068.55,1857.66,1724.81,1394.67,848.95,2236.21,2540.68,2711.31,1366.22,1621.20,2278.71,2705.25,1786.76,899.48,920.75,1551.33,1312.63,1058.61,838.59;
10:59:50.297 -> 2: 1151.65,1436.18,1851.06,2190.83,1618.27,848.10,1685.81,2521.54,2256.51,909.67,1354.52,2602.90,2592.64,1519.92,1134.39,1305.37,1713.42,1267.43,1360.92,820.78,907.34,1046.89,1825.43,1704.57,1378.40,843.92,2218.19,2540.68,2706.69,1373.23,1637.05,2295.57,2717.78,1784.81,898.84,921.96,1555.04,1315.21,1061.18,834.94;
10:59:54.269 -> 3: 1151.65,1431.65,1827.11,2155.92,1589.42,836.97,1556.03,1797.61,1744.05,818.45,1166.35,2004.57,1875.02,1385.99,1066.20,1228.63,1604.03,1212.25,1309.96,808.57,892.57,1029.67,1745.69,1614.95,1318.67,826.68,2061.96,2348.65,2503.79,1314.58,1541.43,2139.22,2498.27,1697.33,879.61,898.24,1484.60,1263.54,1026.36,816.18;
10:59:58.270 -> 4: 1116.61,1380.92,1744.92,2049.37,1544.39,830.12,1596.29,2352.04,2109.92,883.27,1307.15,2453.40,2436.30,1477.85,1109.84,1281.87,1647.72,1231.17,1325.95,811.35,898.98,1035.95,1752.96,1617.20,1330.68,825.66,2061.96,2328.94,2483.06,1311.79,1542.46,2130.14,2474.70,1708.35,877.20,896.45,1479.95,1260.96,1023.12,814.49;
11:00:02.254 -> 5: 1111.02,1375.44,1728.08,2033.23,1545.27,828.00,1586.68,2331.51,2103.16,880.75,1301.15,2405.78,2396.38,1469.52,1103.21,1269.47,1643.27,1228.50,1322.80,810.30,894.85,1032.81,1750.41,1617.20,1325.23,823.12,2054.76,2309.36,2449.87,1309.00,1530.49,2097.48,2439.94,1682.34,875.51,894.01,1473.56,1259.19,1020.81,814.49;
11:00:06.284 -> 6: 1108.95,1375.44,1739.52,2041.38,1553.49,834.36,1623.63,2382.26,2142.97,886.23,1307.41,2405.78,2396.38,1465.38,1101.00,1269.68,1648.63,1225.84,1313.06,807.16,890.28,1023.38,1723.82,1562.61,1270.92,756.89,1840.73,2061.42,2155.92,1196.01,1440.25,1978.62,2304.72,1618.48,856.34,876.92,1429.26,1242.94,1008.55,770.16;
11:00:10.268 -> 7: 1043.90,1281.35,1609.32,1886.33,1452.62,800.16,1307.42,2212.07,2048.37,870.32,1273.15,2329.35,2327.29,1448.92,1094.42,1248.78,1618.48,1209.62,1303.76,804.02,887.34,1024.96,1725.00,1601.22,1311.62,820.56,2019.00,2270.63,2352.42,1275.04,1485.75,1994.46,2245.69,1575.42,842.58,849.85,1253.95,1113.46,961.61,778.80;
11:00:14.251 -> 8: 1088.43,1355.76,1718.05,2009.38,1527.36,828.00,1590.98,2351.48,2117.78,885.80,1304.04,2430.86,2315.61,1404.71,993.05,1136.37,1405.13,1135.57,1276.31,796.39,879.37,1013.94,1693.88,1554.80,1284.45,809.93,1954.94,2176.75,2280.95,1255.36,1470.36,1963.82,2205.02,1570.77,837.87,842.34,1232.64,1104.30,977.93,786.03;
11:00:18.236 -> 9: 1070.14,1305.79,1654.60,1945.48,1492.51,813.84,1535.04,2221.76,1979.75,861.90,1243.20,2225.56,2192.66,1393.34,1061.98,1200.46,1547.27,1173.19,1264.15,790.45,874.22,1006.06,1679.81,1546.99,1283.62,808.92,1976.60,2213.64,2342.13,1272.30,1486.40,2009.97,2316.96,1613.35,854.77,870.40,1400.35,1196.26,979.53,766.30;
11:00:22.243 -> 10: 1037.99,1197.60,1533.08,1800.66,1410.32,790.45,1433.44,2028.52,1837.57,831.76,1155.08,2101.95,2095.67,1341.26,1047.18,1208.83,1561.31,1178.46,1270.13,792.53,874.80,1004.48,1676.35,1531.41,1270.92,801.81,1873.66,2059.13,2059.13,1162.63,1327.24,1828.99,2205.02,1506.68,828.49,837.57,1314.84,1086.20,916.39,779.83;
